name,description,image,token ID,BACKGROUND,TENNISBALL,BODY,OUTLINE,RACKET,TATTOO,TSHIRT,WATCH,WRISTBAND,HAIRCUT,GLASSES,EARRINGS,PLAYER TYPE,MUTATION,BORDER,SIGNATURE,POSE,TECHNIQUE,MINDSET,POWER,TACTICS,CONDITIONING,LUCK,Tactics boost,Power boost,Conditioning boost,Technique boost,Mindset boost,MOMENT,animation_url
Ballman #11,Stan the Ballman collection,https://arts.ballmanproject.io/4015.png,10,Victory Red 3,purple,06,white,,none,pink,,yellow,bb_mullet_ginger,white,none,Counterpuncher,none,metalpink,full white,FIST,46,49,46,50,59,50,,,,,,,
Ballman #12,Stan the Ballman collection,https://arts.ballmanproject.io/1839.png,11,Radiant Purple 2,lgbtq,blue,black,red,normal,black,pink,blue,mb_stache_black,none,none,Counterpuncher,Cardio+,black,none,BLINK,47,50,46,50,57,50,,,5.0,,,,
Ballman #13,Stan the Ballman collection,https://arts.ballmanproject.io/5979.png,12,Purple Stan 2,pink,Stan,black,,,red,,green,,none,,Counterpuncher,Cardio+,red,none,FIST,46,50,47,50,57,50,,,5.0,,,,
Ballman #14,Stan the Ballman collection,https://arts.ballmanproject.io/371.png,13,Purple Stan 3,pink,05,white,black,normal,yellow,black,blue,gi_topknot_brown,none,none,Aggressive Baseliner,none,green,none,BACKHANDS,55,49,55,44,47,50,,,,,,,
Ballman #15,Stan the Ballman collection,https://arts.ballmanproject.io/361.png,14,Victory Green 3,purple,06,black,blue,sleeve,pink,black,pink,gi_topknot_blond,none,none,Counterpuncher,none,black,full white,BACKHANDS,47,50,46,50,57,50,,,,,,,
Ballman #16,Stan the Ballman collection,https://arts.ballmanproject.io/1831.png,15,Radiant Green 2,blue,02,white,green,none,black,black,blue,jc_helmet_black,none,none,Aggressive Baseliner,none,red,sw black,BLINK,55,50,55,45,45,50,,,,,,,
Ballman #17,Stan the Ballman collection,https://arts.ballmanproject.io/5472.png,16,Victory Red 1,yellow,Stan,white,,,black,,black,,,,Pusher,none,metalblue,full white,BROKEN,46,50,43,52,58,50,,,,,,,
Ballman #18,Stan the Ballman collection,https://arts.ballmanproject.io/2192.png,17,Radiant Blue 1,silver,06,white,,normal,yellow,yellow,blue,in_sideslick_brown,,,Counterpuncher,none,earth,full gold,BROKEN,47,50,46,50,57,50,,,,,,,
Ballman #19,Stan the Ballman collection,https://arts.ballmanproject.io/5497.png,18,Victory Purple 3,pink,Stan,black,,,pink,,yellow,,,,Serve-and-Volleyer,none,red,none,BROKEN,56,49,54,50,41,50,,,,,,,
Ballman #20,Stan the Ballman collection,https://arts.ballmanproject.io/5878.png,19,Victory Red 1,pink,Stan,white,,,yellow,,black,,black,,Counterpuncher,none,copper,sw gold,FIST,46,49,46,50,59,50,,,,,,,
Ballman #21,Stan the Ballman collection,https://arts.ballmanproject.io/4481.png,20,Victory Green 3,orange,06,black,yellow,sleeve,red,blue,green,se_featheredhair_ginger,none,,Pusher,Low heartbeat gene,earth,full white,POINT,46,50,43,52,58,50,,,10.0,,,,
Ballman #22,Stan the Ballman collection,https://arts.ballmanproject.io/3034.png,21,Blue Stan 1,orange,04,white,,none,pink,,blue,rf_headband_blond,white,none,All-court Player,none,green,sw gold,FINGER,50,52,45,56,47,50,,,,,,,
Ballman #23,Stan the Ballman collection,https://arts.ballmanproject.io/654.png,22,Radiant Purple 2,blue,06,black,black,sleeve,white,black,pink,ar_mohawk_brown,none,none,Pusher,none,pink,none,BACKHANDS,46,50,43,52,58,50,,,,,,,
Ballman #24,Stan the Ballman collection,https://arts.ballmanproject.io/3428.png,23,Victory Red 1,orange,06,black,,none,blue,,pink,yn_dreads_ginger,none,none,Serve-and-Volleyer,Cardio+,blue,full white,FIST,56,49,53,52,40,50,,,5.0,,,,
Ballman #25,Stan the Ballman collection,https://arts.ballmanproject.io/5938.png,24,Radiant Blue 1,purple,Stan,black,,,blue,,red,,none,,All-court Player,Racket samourai,metalred,sw black,FIST,50,53,45,56,47,50,,,,10.0,,,
Ballman #26,Stan the Ballman collection,https://arts.ballmanproject.io/4661.png,25,Victory Red 2,orange,04,white,red,none,green,white,pink,db_dreadlocks_black,none,,All-court Player,none,white,none,POINT,49,53,45,56,47,50,,,,,,,
Ballman #27,Stan the Ballman collection,https://arts.ballmanproject.io/354.png,26,Pink Gradient 2,yellow,03,white,black,none,blue,red,black,am_afro_brown,none,none,All-court Player,none,blue,none,BACKHANDS,49,52,46,57,46,50,,,,,,,
Ballman #28,Stan the Ballman collection,https://arts.ballmanproject.io/592.png,27,Radiant Green 1,green,05,white,blue,none,yellow,yellow,yellow,ar_mohawk_brown,white,none,Serve-and-Volleyer,none,earth,none,BACKHANDS,56,50,53,51,40,50,,,,,,,
Ballman #29,Stan the Ballman collection,https://arts.ballmanproject.io/4690.png,28,Victory Green 3,orange,05,black,yellow,sleeve,yellow,pink,black,gv_headband_ginger,none,,All-court Player,none,blue,full white,POINT,49,53,45,56,47,50,,,,,,,
Ballman #30,Stan the Ballman collection,https://arts.ballmanproject.io/4122.png,29,Victory Red 1,yellow,03,white,,none,red,,yellow,bb_headband_ginger,black,none,All-court Player,none,metalpink,sw white,FIST,50,52,45,56,47,50,,,,,,,
Ballman #31,Stan the Ballman collection,https://arts.ballmanproject.io/4330.png,30,Red Stan 1,pink,06,black,pink,sleeve,pink,red,green,se_featheredhair_ginger,white,,Aggressive Baseliner,none,white,none,POINT,55,50,55,45,45,50,,,,,,,
Ballman #32,Stan the Ballman collection,https://arts.ballmanproject.io/1538.png,31,Radiant Yellow 2,black,03,black,black,none,yellow,red,blue,rn_headband_ginger,none,none,All-court Player,none,earth,none,BACKHANDS VOLLEY,50,53,45,56,47,50,,,,,,,
Ballman #33,Stan the Ballman collection,https://arts.ballmanproject.io/3936.png,32,Victory Purple 3,orange,02,black,,none,yellow,,black,bb_headband_ginger,black,none,All-court Player,Eagle Eye,pink,none,FIST,50,52,45,56,47,50,,,,5.0,,,
Ballman #34,Stan the Ballman collection,https://arts.ballmanproject.io/1090.png,33,Pink Gradient 1,yellow,04,black,red,none,black,blue,red,nk_fauxhawk_brown,white,none,All-court Player,none,white,full black,BACKHANDS VOLLEY,49,52,46,57,46,50,,,,,,,
Ballman #35,Stan the Ballman collection,https://arts.ballmanproject.io/5056.png,34,Holographic 2,purple,Stan,white,pink,,yellow,,red,,black,,Aggressive Baseliner,none,blue,none,BACKHANDS,56,50,54,45,45,50,,,,,,,
Ballman #36,Stan the Ballman collection,https://arts.ballmanproject.io/620.png,35,Victory Green 3,bronze,03,white,black,none,black,white,blue,gi_topknot_blond,none,none,All-court Player,none,green,sw white,BACKHANDS,49,53,45,56,47,50,,,,,,,
Ballman #37,Stan the Ballman collection,https://arts.ballmanproject.io/6092.png,36,Blue Stan 3,red,Stan,white,pink,,black,,yellow,,black,,All-court Player,none,orange,none,POINT,50,52,45,56,47,50,,,,,,,
Ballman #38,Stan the Ballman collection,https://arts.ballmanproject.io/1004.png,37,Purple Stan 3,silver,04,white,pink,sleeve,red,green,green,nk_fauxhawk_ginger,none,none,Counterpuncher,none,pink,full black,BACKHANDS VOLLEY,48,50,46,50,57,50,,,,,,,
Ballman #39,Stan the Ballman collection,https://arts.ballmanproject.io/3630.png,38,Radiant Green 2,pink,06,white,,normal,blue,,green,bb_headband_blond,none,none,Counterpuncher,none,copper,full black,FIST,46,49,46,50,59,50,,,,,,,
Ballman #40,Stan the Ballman collection,https://arts.ballmanproject.io/3757.png,39,Radiant Blue 1,white,06,black,,none,yellow,,black,bb_mullet_blond,none,none,Counterpuncher,none,quick,none,FIST,46,49,46,50,59,50,,,,,,,
Ballman #41,Stan the Ballman collection,https://arts.ballmanproject.io/5511.png,40,Holographic 2,white,Stan,white,,,blue,,blue,,,,Serve-and-Volleyer,none,metalblue,none,BROKEN,56,49,54,50,41,50,,,,,,,
Ballman #42,Stan the Ballman collection,https://arts.ballmanproject.io/4285.png,41,Victory Yellow 3,white,06,black,red,none,pink,white,pink,db_dreadlocks_black,white,,Pusher,none,earth,sw white,POINT,46,50,43,52,58,50,,,,,,,
Ballman #43,Stan the Ballman collection,https://arts.ballmanproject.io/727.png,42,Victory Purple 3,orange,06,black,black,none,white,black,green,ar_mohawk_blond,none,earring,All-court Player,none,orange,sw white,BACKHANDS,50,53,45,56,47,50,,,,,,,
Ballman #44,Stan the Ballman collection,https://arts.ballmanproject.io/129.png,43,Radiant Purple 3,orange,02,black,red,none,red,blue,black,gi_topknot_ginger,none,none,Aggressive Baseliner,none,metalblue,full black,BACKHANDS,55,50,55,45,45,50,,,,,,,
Ballman #45,Stan the Ballman collection,https://arts.ballmanproject.io/2665.png,44,Red Stan 1,orange,01,black,,none,yellow,,blue,dm_partinghair_ginger,none,none,Aggressive Baseliner,Eagle Eye,quick,none,FINGER,55,49,55,44,47,50,,,,5.0,,,
Ballman #46,Stan the Ballman collection,https://arts.ballmanproject.io/668.png,45,Radiant Yellow 3,green,03,white,blue,none,white,white,red,am_afro_blond,black,earring,Aggressive Baseliner,Quick neuron,pink,none,BACKHANDS,56,50,54,45,45,50,5.0,,,,,,
Ballman #47,Stan the Ballman collection,https://arts.ballmanproject.io/2605.png,46,Radiant Purple 2,yellow,05,white,,none,pink,,black,rf_headband_black,none,none,Counterpuncher,none,pink,none,FINGER,46,49,46,50,59,50,,,,,,,
Ballman #48,Stan the Ballman collection,https://arts.ballmanproject.io/3595.png,47,Red Stan 1,purple,04,black,,none,green,,red,bb_headband_brown,none,none,Aggressive Baseliner,none,pink,none,FIST,55,49,55,44,47,50,,,,,,,
Ballman #49,Stan the Ballman collection,https://arts.ballmanproject.io/2076.png,48,Blue Stan 2,white,05,white,,sleeve,pink,green,blue,mc_bowlcut_black,,,Serve-and-Volleyer,none,green,full black,BROKEN,56,50,53,51,40,50,,,,,,,
Ballman #50,Stan the Ballman collection,https://arts.ballmanproject.io/1627.png,49,Victory Red 3,yellow,02,white,black,none,pink,yellow,white,nk_fauxhawk_black,none,none,Serve-and-Volleyer,none,blue,full white,BACKHANDS VOLLEY,56,49,53,52,40,50,,,,,,,
Ballman #51,Stan the Ballman collection,https://arts.ballmanproject.io/2822.png,50,Victory Purple 3,white,06,black,,none,green,,yellow,dm_partinghair_black,white,none,Serve-and-Volleyer,none,red,none,FINGER,56,50,53,51,40,50,,,,,,,
Ballman #52,Stan the Ballman collection,https://arts.ballmanproject.io/5674.png,51,Radiant Green 2,green,Stan,white,,,red,,red,,none,,Serve-and-Volleyer,none,white,full white,FINGER,56,49,53,52,40,50,,,,,,,
Ballman #53,Stan the Ballman collection,https://arts.ballmanproject.io/1959.png,52,Blue Stan 2,silver,03,white,,none,black,pink,green,kn_fringe_blond,,,Aggressive Baseliner,Cardio+,green,sw white,BROKEN,55,50,56,45,45,50,,,5.0,,,,
Ballman #54,Stan the Ballman collection,https://arts.ballmanproject.io/1240.png,53,Radiant Green 2,red,02,black,yellow,none,red,green,blue,rn_headband_black,black,none,Counterpuncher,none,quick,none,BACKHANDS VOLLEY,46,49,46,50,59,50,,,,,,,
Ballman #55,Stan the Ballman collection,https://arts.ballmanproject.io/5124.png,54,Holographic 3,green,Stan,white,pink,,red,,green,,none,,Aggressive Baseliner,none,pink,full black,BACKHANDS,56,50,54,45,45,50,,,,,,,
Ballman #56,Stan the Ballman collection,https://arts.ballmanproject.io/2444.png,55,Radiant Blue 2,purple,02,black,,none,white,,yellow,dm_partinghair_black,white,none,Aggressive Baseliner,none,black,full gold,FINGER,55,50,55,45,45,50,,,,,,,
Ballman #57,Stan the Ballman collection,https://arts.ballmanproject.io/799.png,56,Victory Green 3,white,06,white,green,none,pink,black,yellow,ar_mohawk_brown,none,none,Counterpuncher,Zen master,pink,none,BACKHANDS,46,50,47,50,57,50,,,,,10.0,,
Ballman #58,Stan the Ballman collection,https://arts.ballmanproject.io/3608.png,57,Pink Gradient 3,red,06,white,,none,white,,yellow,bb_headband_brown,none,none,Counterpuncher,Racket samourai,green,sw white,FIST,46,49,46,50,59,50,,,,10.0,,,
Ballman #59,Stan the Ballman collection,https://arts.ballmanproject.io/5817.png,58,Radiant Purple 2,blue,Stan,white,,,green,,black,,white,,Counterpuncher,none,earth,full white,FIST,46,50,47,50,57,50,,,,,,,
Ballman #60,Stan the Ballman collection,https://arts.ballmanproject.io/5833.png,59,Victory Purple 3,blue,Stan,black,,,yellow,,black,,black,,Pusher,none,green,full white,FIST,48,50,44,51,57,50,,,,,,,
Ballman #61,Stan the Ballman collection,https://arts.ballmanproject.io/4373.png,60,Holographic 1,red,01,white,yellow,none,blue,white,pink,gv_headband_brown,none,,Counterpuncher,none,green,none,POINT,46,49,46,50,59,50,,,,,,,
Ballman #62,Stan the Ballman collection,https://arts.ballmanproject.io/5375.png,61,Blue Stan 3,white,Stan,white,blue,,pink,,yellow,,none,,All-court Player,none,pink,full black,BACKHANDS VOLLEY,49,52,46,57,46,50,,,,,,,
Ballman #63,Stan the Ballman collection,https://arts.ballmanproject.io/1051.png,62,Radiant Yellow 2,pink,green,black,red,none,black,white,red,rn_headband_blond,black,none,Aggressive Baseliner,none,copper,full black,BACKHANDS VOLLEY,55,49,55,44,47,50,,,,,,,
Ballman #64,Stan the Ballman collection,https://arts.ballmanproject.io/6183.png,63,Radiant Blue 2,red,Stan,black,green,,green,,red,,white,,Aggressive Baseliner,none,metalblue,sw white,VICTORY,55,49,55,44,47,50,,,,,,,
Ballman #65,Stan the Ballman collection,https://arts.ballmanproject.io/1953.png,64,Purple Stan 2,pink,02,black,,none,yellow,blue,yellow,in_sideslick_ginger,,,Pusher,none,blue,full black,BROKEN,48,50,44,51,57,50,,,,,,,
Ballman #66,Stan the Ballman collection,https://arts.ballmanproject.io/3522.png,65,Purple Stan 1,yellow,06,black,,none,pink,,red,yn_dreads_ginger,white,earring,All-court Player,none,grass,full black,FIST,49,53,45,56,47,50,,,,,,,
Ballman #67,Stan the Ballman collection,https://arts.ballmanproject.io/3545.png,66,Purple Stan 3,lgbtq,03,black,,none,blue,,black,bb_headband_ginger,none,earring,Serve-and-Volleyer,none,orange,sw gold,FIST,56,49,53,52,40,50,,,,,,,
Ballman #68,Stan the Ballman collection,https://arts.ballmanproject.io/2245.png,67,Radiant Blue 1,black,05,black,,none,yellow,blue,green,kn_fringe_black,,,Aggressive Baseliner,none,metal,none,BROKEN,55,50,55,45,45,50,,,,,,,
Ballman #69,Stan the Ballman collection,https://arts.ballmanproject.io/4945.png,68,Radiant Green 1,blue,02,black,blue,none,blue,black,blue,aa_mullet_black,none,none,All-court Player,none,metalblue,sw white,VICTORY,49,52,46,57,46,50,,,,,,,
Ballman #70,Stan the Ballman collection,https://arts.ballmanproject.io/2197.png,69,Victory Yellow 1,black,05,white,,none,pink,black,green,in_sideslick_ginger,,,Pusher,none,grass,none,BROKEN,46,50,43,52,58,50,,,,,,,
Ballman #71,Stan the Ballman collection,https://arts.ballmanproject.io/3927.png,70,Victory Red 3,green,02,white,,sleeve,black,,black,yn_dreads_black,white,none,Serve-and-Volleyer,none,metalpink,sw white,FIST,56,49,54,50,41,50,,,,,,,
Ballman #72,Stan the Ballman collection,https://arts.ballmanproject.io/3571.png,71,Victory Yellow 1,purple,04,black,,none,black,,red,bb_headband_blond,none,none,Counterpuncher,none,green,none,FIST,46,49,46,50,59,50,,,,,,,
Ballman #73,Stan the Ballman collection,https://arts.ballmanproject.io/626.png,72,Radiant Blue 3,pink,blue,black,green,none,black,black,white,am_afro_brown,brown,none,Pusher,none,pink,full black,BACKHANDS,48,50,44,51,57,50,,,,,,,
Ballman #74,Stan the Ballman collection,https://arts.ballmanproject.io/4748.png,73,Radiant Purple 2,pink,02,white,,none,green,pink,white,bp_beard_black,none,none,Pusher,Killer mindset,red,full black,TROPHY,46,50,43,52,58,50,,,,,5.0,,
Ballman #75,Stan the Ballman collection,https://arts.ballmanproject.io/3753.png,74,Victory Purple 2,yellow,04,black,,none,white,,white,bb_mullet_ginger,black,none,All-court Player,Quick neuron,green,sw white,FIST,49,53,45,56,47,50,5.0,,,,,,
Ballman #76,Stan the Ballman collection,https://arts.ballmanproject.io/962.png,75,Victory Purple 2,black,blue,white,red,sleeve,blue,blue,blue,nk_fauxhawk_brown,white,none,All-court Player,none,pink,sw white,BACKHANDS VOLLEY,50,52,45,56,47,50,,,,,,,
Ballman #77,Stan the Ballman collection,https://arts.ballmanproject.io/4215.png,76,Purple Stan 1,red,04,white,,none,green,,red,bb_headband_ginger,none,none,Serve-and-Volleyer,none,pink,sw black,FIST,56,49,53,52,40,50,,,,,,,
Ballman #78,Stan the Ballman collection,https://arts.ballmanproject.io/4321.png,77,Red Stan 1,red,03,white,pink,none,green,blue,black,db_dreadlocks_brown,white,,All-court Player,none,green,none,POINT,50,52,45,56,47,50,,,,,,,
Ballman #79,Stan the Ballman collection,https://arts.ballmanproject.io/2925.png,78,Pink Gradient 1,pink,02,white,,none,green,,red,dm_partinghair_ginger,none,none,Counterpuncher,none,metalred,full black,FINGER,46,50,47,50,57,50,,,,,,,
Ballman #80,Stan the Ballman collection,https://arts.ballmanproject.io/1263.png,79,Radiant Blue 2,lgbtq,01,white,pink,none,black,white,blue,gm_afro_black,none,none,Aggressive Baseliner,none,red,sw white,BACKHANDS VOLLEY,55,49,55,44,47,50,,,,,,,
Ballman #81,Stan the Ballman collection,https://arts.ballmanproject.io/1172.png,80,Radiant Blue 3,pink,04,white,blue,normal,green,blue,white,gm_afro_black,none,none,Pusher,none,green,full black,BACKHANDS VOLLEY,46,50,43,52,58,50,,,,,,,
Ballman #82,Stan the Ballman collection,https://arts.ballmanproject.io/4298.png,81,Red Stan 1,yellow,06,black,yellow,sleeve,black,green,yellow,se_featheredhair_ginger,white,,Pusher,none,quick,none,POINT,48,50,44,51,57,50,,,,,,,
Ballman #83,Stan the Ballman collection,https://arts.ballmanproject.io/4106.png,82,Victory Purple 1,yellow,06,white,,none,pink,,red,bb_headband_brown,none,none,Aggressive Baseliner,none,paillettes,sw white,FIST,56,50,54,45,45,50,,,,,,,
Ballman #84,Stan the Ballman collection,https://arts.ballmanproject.io/2030.png,83,Red Stan 2,silver,06,white,,none,white,white,pink,kn_fringe_ginger,,,Counterpuncher,none,red,none,BROKEN,46,50,47,50,57,50,,,,,,,
Ballman #85,Stan the Ballman collection,https://arts.ballmanproject.io/4765.png,84,Holographic 1,red,05,white,,none,white,pink,white,ds_sideslick_blond,none,none,Serve-and-Volleyer,none,green,none,TROPHY,56,49,53,52,40,50,,,,,,,
Ballman #86,Stan the Ballman collection,https://arts.ballmanproject.io/3637.png,85,Victory Green 2,orange,red,white,,none,green,,yellow,bb_headband_blond,white,none,Pusher,none,copper,none,FIST,46,50,43,52,58,50,,,,,,,
Ballman #87,Stan the Ballman collection,https://arts.ballmanproject.io/4764.png,86,Pink Gradient 2,yellow,05,black,,none,red,pink,black,ds_sideslick_brown,none,none,All-court Player,Stan's punch,metalred,none,TROPHY,49,53,45,56,47,50,,5.0,,,,,
Ballman #88,Stan the Ballman collection,https://arts.ballmanproject.io/854.png,87,Victory Red 3,yellow,04,white,red,none,red,green,yellow,gi_topknot_brown,black,none,Serve-and-Volleyer,none,green,full white,BACKHANDS,56,49,53,52,40,50,,,,,,,
Ballman #89,Stan the Ballman collection,https://arts.ballmanproject.io/3461.png,88,Victory Yellow 1,purple,05,black,,none,blue,,pink,bb_headband_brown,none,none,Serve-and-Volleyer,none,pink,none,FIST,56,50,53,51,40,50,,,,,,,
Ballman #90,Stan the Ballman collection,https://arts.ballmanproject.io/2744.png,89,Holographic 1,yellow,05,white,,normal,green,,pink,rf_headband_brown,black,none,All-court Player,none,metalred,sw white,FINGER,49,52,46,57,46,50,,,,,,,
Ballman #91,Stan the Ballman collection,https://arts.ballmanproject.io/5101.png,90,Pink Gradient 1,pink,Stan,white,red,,white,,yellow,,none,,All-court Player,none,metalgreen,none,BACKHANDS,50,52,45,56,47,50,,,,,,,
Ballman #92,Stan the Ballman collection,https://arts.ballmanproject.io/2551.png,91,Radiant Blue 2,silver,04,black,,none,blue,,black,rf_headband_brown,white,earring,Aggressive Baseliner,Cardio+,metalpink,sw white,FINGER,56,50,54,45,45,50,,,5.0,,,,
Ballman #93,Stan the Ballman collection,https://arts.ballmanproject.io/1192.png,92,Victory Yellow 3,white,06,white,pink,none,yellow,white,yellow,nk_fauxhawk_ginger,white,earring,Counterpuncher,none,white,none,BACKHANDS VOLLEY,47,50,46,50,57,50,,,,,,,
Ballman #94,Stan the Ballman collection,https://arts.ballmanproject.io/3887.png,93,Deep Blue 1,purple,05,black,,none,blue,,black,bb_mullet_brown,none,none,Aggressive Baseliner,Master mind,earth,none,FIST,55,49,55,44,47,50,8.0,,,,,,
Ballman #95,Stan the Ballman collection,https://arts.ballmanproject.io/146.png,94,Victory Red 3,purple,05,black,blue,none,white,red,yellow,ar_mohawk_brown,none,none,Counterpuncher,none,red,sw white,BACKHANDS,46,49,46,50,59,50,,,,,,,
Ballman #96,Stan the Ballman collection,https://arts.ballmanproject.io/787.png,95,Victory Purple 3,black,04,white,blue,none,green,white,red,am_afro_ginger,white,earring,Aggressive Baseliner,none,metal,none,BACKHANDS,55,49,55,44,47,50,,,,,,,
Ballman #97,Stan the Ballman collection,https://arts.ballmanproject.io/3845.png,96,Red Stan 1,yellow,01,black,,none,pink,,blue,bb_headband_ginger,white,none,Pusher,none,pink,none,FIST,46,50,43,52,58,50,,,,,,,
Ballman #98,Stan the Ballman collection,https://arts.ballmanproject.io/81.png,97,Pink Gradient 2,pink,03,black,pink,none,pink,green,pink,am_afro_brown,brown,none,All-court Player,Stan's punch,blue,full white,BACKHANDS,49,52,46,57,46,50,,5.0,,,,,
Ballman #99,Stan the Ballman collection,https://arts.ballmanproject.io/2985.png,98,Victory Red 1,pink,05,black,,none,white,,green,dm_partinghair_black,none,none,Aggressive Baseliner,none,earth,full white,FINGER,56,50,54,45,45,50,,,,,,,
Ballman #100,Stan the Ballman collection,https://arts.ballmanproject.io/5930.png,99,Victory Red 1,white,Stan,white,,,blue,,white,,black,,Counterpuncher,Cardio+,orange,full white,FIST,46,50,47,50,57,50,,,5.0,,,,
Ballman #101,Stan the Ballman collection,https://arts.ballmanproject.io/725.png,100,Victory Red 3,red,01,white,yellow,none,green,green,red,gi_topknot_brown,none,none,Pusher,none,green,none,BACKHANDS,46,51,44,53,57,50,,,,,,,
Ballman #102,Stan the Ballman collection,https://arts.ballmanproject.io/5540.png,101,Victory Red 2,red,Stan,white,,,red,,white,,,,Aggressive Baseliner,none,white,sw white,BROKEN,55,49,55,44,47,50,,,,,,,
Ballman #103,Stan the Ballman collection,https://arts.ballmanproject.io/3388.png,102,Deep Blue 3,white,06,white,,normal,black,,white,yn_dreads_black,none,none,Counterpuncher,none,white,none,FIST,46,50,47,50,57,50,,,,,,,
Ballman #104,Stan the Ballman collection,https://arts.ballmanproject.io/2029.png,103,Radiant Green 2,purple,06,black,,none,red,red,yellow,in_sideslick_blond,,,Counterpuncher,none,metalgreen,none,BROKEN,48,50,46,50,57,50,,,,,,,
Ballman #105,Stan the Ballman collection,https://arts.ballmanproject.io/4950.png,104,Radiant Blue 1,green,05,black,blue,none,yellow,pink,black,aa_afro_ginger,none,none,Serve-and-Volleyer,none,pink,none,VICTORY,56,50,53,51,40,50,,,,,,,
Ballman #106,Stan the Ballman collection,https://arts.ballmanproject.io/4065.png,105,Purple Stan 3,orange,02,black,,normal,pink,,pink,bb_mullet_brown,none,none,Pusher,none,white,sw white,FIST,46,50,43,52,58,50,,,,,,,
Ballman #107,Stan the Ballman collection,https://arts.ballmanproject.io/3998.png,106,Radiant Yellow 2,purple,03,white,,none,white,,white,bb_mullet_ginger,none,none,Pusher,Master mind,black,sw black,FIST,48,50,44,51,57,50,8.0,,,,,,
Ballman #108,Stan the Ballman collection,https://arts.ballmanproject.io/2986.png,107,Radiant Blue 3,yellow,02,black,,normal,blue,,red,rf_headband_blond,none,none,Aggressive Baseliner,none,red,full black,FINGER,55,49,55,44,47,50,,,,,,,
Ballman #109,Stan the Ballman collection,https://arts.ballmanproject.io/1392.png,108,Radiant Yellow 3,black,04,white,yellow,none,white,black,pink,gm_afro_black,none,none,Serve-and-Volleyer,none,metalblue,none,BACKHANDS VOLLEY,56,49,53,52,40,50,,,,,,,
Ballman #110,Stan the Ballman collection,https://arts.ballmanproject.io/792.png,109,Holographic 3,green,green,black,blue,none,green,green,black,am_afro_blond,none,none,Serve-and-Volleyer,none,black,sw white,BACKHANDS,56,50,53,51,40,50,,,,,,,
Ballman #111,Stan the Ballman collection,https://arts.ballmanproject.io/1942.png,110,Radiant Yellow 1,pink,02,black,,normal,pink,black,black,kn_fringe_blond,,,Serve-and-Volleyer,none,white,sw black,BROKEN,56,49,53,52,40,50,,,,,,,
